32.59769,-116.4658,2025-03-14
32.661137,-116.54506,2025-03-15
32.850994,-116.4189,2025-03-17
32.887733,-116.448784,2025-03-18
33.098145,-116.472305,2025-03-19
33.167747,-116.5429,2025-03-22
33.380802,-116.59067,2025-03-24
33.4612,-116.59979,2025-03-25
33.56908,-116.59195,2025-03-26
33.70796,-116.62165,2025-03-30
33.78448,-116.67495,2025-03-31
33.784157,-116.67479,2025-04-01
33.86798,-116.695595,2025-04-02
34.01319,-116.668594,2025-04-04
34.128216,-116.70903,2025-04-05
34.149513,-116.710434,2025-04-06
34.304726,-116.80591,2025-04-07
34.28565,-116.92465,2025-04-08
34.33994,-117.17678,2025-04-10
34.336193,-117.24596,2025-04-11
34.288105,-117.36309,2025-04-12
34.2973,-117.506935,2025-04-13
34.36043,-117.87283,2025-04-16
34.37099,-117.99706,2025-04-17
34.37093,-117.99714,2025-04-18
34.38049,-118.15615,2025-04-19
34.43835,-118.272125,2025-04-20
34.50077,-118.32655,2025-04-21
34.555073,-118.31572,2025-04-22
34.634197,-118.39248,2025-04-23
34.70171,-118.57258,2025-04-24
34.752804,-118.6216,2025-04-25
34.851448,-118.48386,2025-04-26
34.998165,-118.43292,2025-04-27
35.132122,-118.45385,2025-04-28
35.050186,-118.35634,2025-04-29
35.1144,-118.259026,2025-04-30
35.2576,-118.25143,2025-05-01
35.40887,-118.306694,2025-05-02
35.489326,-118.148506,2025-05-03
35.651432,-117.67245,2025-05-04
35.66373,-118.0246,2025-05-05
35.925045,-118.149445,2025-05-06
35.989708,-118.10257,2025-05-07
36.0423,-118.13312,2025-05-11
36.237007,-118.11756,2025-05-12
36.49675,-118.33795,2025-05-13
36.497128,-118.33776,2025-05-14
36.758556,-118.406,2025-05-15
36.758842,-118.40627,2025-05-16
36.774178,-118.39302,2025-05-19
36.89899,-118.41099,2025-05-20
37.002907,-118.45263,2025-05-21
37.002876,-118.45294,2025-05-22
37.195618,-118.79498,2025-05-23
37.331234,-118.86716,2025-05-24
37.331528,-118.8669,2025-05-25
37.41261,-118.924416,2025-05-26
37.612827,-119.02106,2025-05-27
37.61286,-119.02113,2025-05-29
37.73642,-119.19441,2025-05-30
37.736366,-119.19435,2025-05-31
37.909847,-119.41797,2025-06-01
38.046497,-119.519775,2025-06-02
38.0468,-119.5201,2025-06-03
38.25331,-119.59493,2025-06-04
38.25312,-119.59492,2025-06-05
38.32961,-119.63484,2025-06-07
38.560898,-119.83158,2025-06-08
38.560852,-119.8315,2025-06-09
38.814373,-120.03335,2025-06-10
39.077213,-120.23518,2025-06-13
39.31806,-120.32997,2025-06-14
39.31819,-120.3303,2025-06-16
39.367233,-120.36787,2025-06-17
39.418976,-120.40992,2025-06-18
39.469955,-120.49424,2025-06-19
39.54336,-120.57253,2025-06-20
39.593636,-120.646935,2025-06-26
39.59361,-120.646965,2025-06-27
39.737694,-120.815315,2025-06-28
39.809216,-121.04452,2025-06-29
39.870483,-121.17331,2025-06-30
39.95995,-121.17633,2025-07-01
40.04573,-121.39389,2025-07-02
40.2401,-121.36081,2025-07-03
40.606373,-121.47193,2025-07-04
40.60624,-121.47179,2025-07-05
40.954895,-121.56066,2025-07-06
40.954952,-121.56073,2025-07-07
41.032032,-121.750404,2025-07-08
41.15618,-121.961586,2025-07-09
41.14298,-122.170265,2025-07-10
41.151398,-122.30966,2025-07-11
41.212067,-122.376724,2025-07-12
41.34304,-122.537056,2025-07-13
41.22714,-122.74538,2025-07-14
41.34377,-122.960495,2025-07-15
41.86247,-123.14849,2025-07-16
41.95608,-122.95463,2025-07-17
42.0733,-122.60623,2025-07-18
42.05935,-122.59165,2025-07-19
42.209293,-122.37542,2025-07-20
42.396236,-122.290245,2025-07-21
42.86731,-122.16681,2025-07-22
42.872227,-122.16954,2025-07-23
42.933525,-122.18079,2025-07-24
42.99618,-122.13394,2025-07-25
43.16305,-122.06454,2025-07-26
43.387264,-122.010376,2025-07-27
43.708866,-121.99297,2025-07-29
44.25537,-121.78993,2025-07-30
44.26122,-121.81063,2025-07-31
44.3261,-121.85522,2025-08-01
44.551495,-121.80471,2025-08-02
44.81382,-121.788994,2025-08-03
45.001617,-121.71735,2025-08-04
45.33285,-121.70903,2025-08-05
45.66181,-121.89782,2025-08-08
45.766624,-122.03829,2025-08-09
45.907814,-121.806244,2025-08-10
46.13331,-121.68347,2025-08-11
46.357037,-121.51765,2025-08-12
46.639725,-121.38875,2025-08-13
46.639442,-121.3885,2025-08-14
